order_id,order_date,customer_id,product_id,quantity,unit_price,discount_rate,revenue,cogs,shipping_cost,profit,sales_channel,payment_method,returned_flag
O00001,2024-12-01,C0297,P010,2,569.77,0.15,968.61,712.94,3.03,252.64,Partner,Bank Transfer,0
O00002,2024-03-16,C0349,P004,1,933.18,0.1,839.86,594.51,20.96,224.39,Online,Bank Transfer,0
O00003,2024-06-09,C0215,P003,4,478.73,0.15,1627.68,1494.56,6.08,127.04,Partner,Bank Transfer,0
O00004,2025-03-22,C0032,P012,2,43.97,0.1,79.15,61.18,6.15,11.82,Partner,Bank Transfer,0
O00005,2024-09-26,C0193,P006,2,732.43,0.05,1391.62,999.1,20.24,372.28,Store,Wallet,0
O00006,2024-11-08,C0248,P004,2,933.18,0,1866.36,1189.02,13.16,664.18,Store,Wallet,0
O00007,2024-12-26,C0107,P012,6,43.97,0.05,250.63,183.54,8.34,58.75,Partner,Wallet,0
O00008,2024-05-27,C0063,P010,6,569.77,0.1,3076.76,2138.82,9.59,928.35,Store,Cash,0
O00009,2024-05-28,C0022,P005,6,260.02,0,1560.12,1140.3,8.93,410.89,Store,Bank Transfer,0
O00010,2024-04-19,C0104,P009,3,691.49,0.1,1867.02,1227.54,15.92,623.56,Partner,Cash,0
O00011,2024-05-04,C0026,P011,5,678.3,0,3391.5,2196.55,14.76,1162.79,Partner,Bank Transfer,1
O00012,2024-02-21,C0349,P003,1,478.73,0.1,430.86,373.64,21.56,35.66,Partner,Bank Transfer,0
O00013,2024-09-01,C0334,P004,3,933.18,0,2799.54,1783.53,7.71,1008.3,Online,Cash,0
O00014,2024-09-30,C0020,P003,4,478.73,0,1914.92,1494.56,20.68,369.59,Store,Cash,1
O00015,2025-01-18,C0149,P001,1,424.39,0,424.39,282.34,13.36,128.69,Store,Wallet,0
O00016,2024-08-20,C0329,P009,5,691.49,0.05,3284.58,2045.9,19.79,1218.89,Partner,Bank Transfer,0
O00017,2024-05-19,C0099,P002,3,431.8,0,1295.4,949.71,16.62,329.07,Partner,Cash,0
O00018,2024-01-08,C0173,P005,5,260.02,0.15,1105.08,950.25,17.15,137.68,Partner,Bank Transfer,0
O00019,2025-02-27,C0219,P009,3,691.49,0,2074.47,1227.54,10.02,836.91,Online,Bank Transfer,0
O00020,2024-06-14,C0128,P001,3,424.39,0.05,1209.51,847.02,6.71,355.78,Store,Wallet,0
O00021,2024-10-25,C0294,P001,3,424.39,0.15,1082.19,847.02,9.19,225.98,Partner,Card,0
O00022,2024-08-26,C0158,P003,4,478.73,0.15,1627.68,1494.56,12.05,121.07,Partner,Wallet,0
O00023,2024-12-19,C0061,P011,3,678.3,0,2034.9,1317.93,14.29,702.68,Online,Bank Transfer,0
O00024,2024-03-19,C0233,P012,5,43.97,0,219.85,152.95,10.32,56.58,Store,Cash,0
O00025,2025-01-25,C0127,P011,5,678.3,0,3391.5,2196.55,12.51,1182.44,Store,Card,0
O00026,2024-10-15,C0058,P001,5,424.39,0.1,1909.75,1411.7,6.04,492.01,Online,Wallet,0
O00027,2025-03-13,C0267,P008,1,681.31,0.15,579.11,492.21,6.11,80.79,Online,Bank Transfer,0
O00028,2025-02-18,C0029,P008,2,681.31,0.1,1226.36,984.42,10.31,231.63,Partner,Bank Transfer,0
O00029,2024-12-10,C0158,P012,1,43.97,0.05,41.77,30.59,7.09,-7.45,Online,Card,1
O00030,2024-08-04,C0177,P012,1,43.97,0.1,39.57,30.59,21.88,-12.9,Online,Bank Transfer,0
O00031,2024-01-17,C0147,P007,2,579.93,0,1159.86,859.22,17.32,283.32,Partner,Bank Transfer,0
O00032,2024-07-10,C0196,P008,4,681.31,0.05,2588.98,1968.84,3.6,616.54,Partner,Cash,0
O00033,2024-11-30,C0179,P002,2,431.8,0.1,777.24,633.14,9.86,134.24,Online,Card,0
O00034,2025-01-22,C0012,P005,4,260.02,0.15,884.07,760.2,16.38,107.49,Store,Cash,0
O00035,2024-05-06,C0236,P006,2,732.43,0,1464.86,999.1,5.77,459.99,Online,Card,0
O00036,2025-02-18,C0339,P007,5,579.93,0,2899.65,2148.05,6.81,744.79,Partner,Card,0
O00037,2024-08-16,C0307,P011,6,678.3,0,4069.8,2635.86,6.89,1408.88,Partner,Cash,1
O00038,2025-01-21,C0029,P003,5,478.73,0,2393.65,1868.2,6.68,518.77,Partner,Wallet,0
O00039,2024-10-22,C0307,P011,3,678.3,0,2034.9,1317.93,8.04,708.93,Partner,Cash,0
O00040,2024-07-30,C0154,P005,1,260.02,0.1,234.02,190.05,20.97,23.0,Online,Bank Transfer,0
O00041,2024-10-11,C0254,P001,3,424.39,0.15,1082.19,847.02,15.43,219.74,Store,Bank Transfer,0
O00042,2024-07-28,C0077,P005,4,260.02,0,1040.08,760.2,17.09,262.79,Online,Wallet,0
O00043,2025-03-15,C0074,P008,1,681.31,0.1,613.18,492.21,10.25,110.72,Partner,Cash,0
O00044,2024-07-17,C0125,P005,2,260.02,0,520.04,380.1,14.93,125.01,Store,Card,0
O00045,2024-10-01,C0098,P001,3,424.39,0.05,1209.51,847.02,15.47,347.02,Online,Cash,0
O00046,2025-02-15,C0301,P012,6,43.97,0.1,237.44,183.54,6.34,47.56,Store,Wallet,0
O00047,2024-01-08,C0109,P004,6,933.18,0,5599.08,3567.06,16.94,2015.08,Online,Cash,0
O00048,2024-07-22,C0123,P009,3,691.49,0,2074.47,1227.54,9.61,837.32,Store,Wallet,0
O00049,2024-05-13,C0185,P009,4,691.49,0.05,2627.66,1636.72,3.97,986.97,Store,Wallet,0
O00050,2024-04-14,C0190,P006,4,732.43,0,2929.72,1998.2,13.25,918.27,Online,Card,0
O00051,2024-05-13,C0284,P010,5,569.77,0.15,2421.52,1782.35,10.35,628.82,Store,Cash,0
O00052,2024-07-13,C0292,P004,4,933.18,0.1,3359.45,2378.04,15.09,966.32,Store,Bank Transfer,0
O00053,2025-01-05,C0329,P012,4,43.97,0.05,167.09,122.36,5.36,39.37,Online,Cash,0
O00054,2025-01-03,C0280,P008,2,681.31,0.1,1226.36,984.42,21.81,220.13,Partner,Card,0
O00055,2025-03-05,C0039,P011,1,678.3,0,678.3,439.31,10.25,228.74,Online,Card,0
O00056,2024-12-28,C0078,P001,2,424.39,0.1,763.9,564.68,11.12,188.1,Partner,Bank Transfer,0
O00057,2024-12-03,C0250,P001,1,424.39,0.1,381.95,282.34,13.03,65.7,Store,Wallet,1
O00058,2024-01-09,C0258,P012,6,43.97,0.05,250.63,183.54,18.12,48.97,Online,Card,0
O00059,2024-09-25,C0077,P004,2,933.18,0.1,1679.72,1189.02,12.53,478.17,Store,Bank Transfer,0
O00060,2024-02-10,C0192,P007,4,579.93,0.1,2087.75,1718.44,6.86,362.45,Store,Card,0
O00061,2024-11-30,C0333,P001,1,424.39,0.05,403.17,282.34,9.59,111.24,Online,Card,0
O00062,2024-12-25,C0088,P002,4,431.8,0.05,1640.84,1266.28,14.9,359.66,Online,Card,0
O00063,2024-04-27,C0109,P012,5,43.97,0.05,208.86,152.95,7.42,48.49,Partner,Wallet,0
O00064,2024-10-05,C0289,P011,1,678.3,0,678.3,439.31,20.58,218.41,Online,Cash,0
O00065,2025-01-20,C0204,P002,3,431.8,0,1295.4,949.71,13.28,332.41,Store,Wallet,0
O00066,2024-07-15,C0072,P012,6,43.97,0,263.82,183.54,12.02,68.26,Online,Card,0
O00067,2024-08-11,C0119,P002,3,431.8,0.1,1165.86,949.71,17.38,198.77,Store,Wallet,0
O00068,2024-01-16,C0325,P005,4,260.02,0.05,988.08,760.2,6.56,221.32,Store,Bank Transfer,0
O00069,2024-04-05,C0349,P010,6,569.77,0.05,3247.69,2138.82,3.71,1105.16,Online,Card,0
O00070,2024-02-12,C0138,P003,4,478.73,0.15,1627.68,1494.56,17.68,115.44,Store,Wallet,0
O00071,2024-07-03,C0055,P002,1,431.8,0,431.8,316.57,10.89,104.34,Online,Cash,0
